sex,c_age_cat,race_African-American,race_Caucasian,priors_count,juv_other_count,juv_misd_count,juv_fel_count,c_charge_degree,decile_score,c_length_of_stay,is_recid,two_year_recid
1,2,0,0,0,0,0,0,1,1,0.00125,0,0
1,1,1,0,0,0,0,0,1,3,0.01375,1,1
1,0,1,0,4,1,0,0,1,4,0.0025,1,1
1,1,0,0,0,0,0,0,0,1,0.0025,0,0
1,1,0,1,14,0,0,0,1,6,0.008749999999999999,1,1
1,1,0,0,3,0,0,0,1,4,0.00125,0,0
0,1,0,1,0,0,0,0,0,1,0.00375,0,0
1,1,0,1,0,0,0,0,1,4,0.0025,0,0
1,0,1,0,3,0,0,0,0,6,0.00625,1,1
0,1,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,1,0,0,0,0,0,1,4,0.00125,0,0
0,2,0,1,1,0,0,0,1,1,0.018750000000000003,1,1
1,1,1,0,7,0,0,0,1,3,0.005,1,1
1,1,0,0,0,0,0,0,0,1,0.00125,0,0
1,0,1,0,3,0,0,0,1,10,0.0025,0,0
1,1,0,1,6,0,0,0,1,5,0.0025,1,1
1,1,0,1,5,0,0,0,1,3,0.0025,1,1
1,2,1,0,13,0,0,0,1,6,0.0025,1,1
1,0,1,0,1,0,0,0,1,9,0.005,1,1
1,1,0,1,0,0,0,0,0,2,0.00125,1,1
0,0,0,1,0,0,0,0,1,4,0.0025,0,0
1,0,0,0,1,0,0,0,1,4,0.00125,1,1
1,1,0,1,1,0,0,0,0,1,0.0025,0,0
1,1,0,0,0,0,0,0,0,3,0.0025,0,0
1,0,1,0,8,0,0,0,1,3,0.022500000000000003,1,1
1,0,1,0,5,1,0,0,1,7,0.00125,1,1
1,1,1,0,0,0,0,0,1,10,0.0475,1,1
1,1,0,1,9,0,0,0,1,9,0.05625,1,1
1,1,1,0,4,0,0,0,1,8,0.0025,1,1
1,2,0,1,0,0,0,0,1,1,0.00375,0,0
1,2,0,0,7,0,0,0,1,3,0.005,1,1
0,1,0,1,4,0,0,0,0,5,0.015,1,1
1,0,0,1,1,0,0,0,0,2,0.0025,1,1
1,1,1,0,21,3,1,2,1,9,0.0425,1,1
1,1,0,1,0,0,0,0,0,2,0.0,0,0
0,0,1,0,2,0,0,0,1,8,0.1,0,0
1,2,1,0,2,0,0,0,0,1,0.0025,0,0
1,1,0,1,2,0,0,0,0,2,0.00125,1,1
0,2,1,0,7,0,0,0,1,2,0.0025,0,0
1,1,1,0,0,0,0,0,1,7,0.00125,1,1
1,0,0,1,9,0,0,0,0,10,0.008749999999999999,1,1
1,1,1,0,13,4,0,1,1,8,0.00125,1,1
1,2,0,1,0,0,0,0,0,1,0.00125,0,0
